trial,cue,state,correct_action,action,reward,p_action1,rho_tha,rho_bg,rho_cb,rho_sum,x_mix,w_actor,v_bg_state,z_bias_tha,z_bias_bg,z_bias_cb,x_tha,x_bg,x_cb,x_bb,cue_strength,bg_confidence,trial_uncertainty,logit_tha,logit_bg,logit_cb,rpe,value_before,e_mix,e_tha,e_cb,delta_z_tha_mismatch,delta_z_cb_mismatch,rolling_accuracy,rolling_abs_rpe,rolling_mismatch
27,1.0,1,1,1,1.0,0.9578897104478403,0.355783414329613,0.41883578363919743,0.22538080203118938,0.9999999999999998,0.9388209129995927,0.8344801943828223,0.765865914257251,-0.061847455802937094,-0.14261261699976335,0.0021980201674774297,0.7550148423381504,1.129531544412045,0.8745683891332586,0.9360870877998217,0.7550148423381504,0.73985101584139,0.11955354679510821,0.5424648637293703,0.7056216233450763,0.08593412982510408,0.26014898415861,0.73985101584139,7.473800222902648e-06,0.03278715807653176,0.0037845502856273952,-0.00039335621131570623,-4.532491782485391e-05,0.8518518518518519,0.5858418439104633,0.11696994025338649
28,1.0,1,1,1,1.0,0.9780933612192696,0.39936082517833765,0.39582824058299254,0.20481093423866986,1.0,1.1380783573001483,0.83588114813017,0.7892793228315259,-0.06185911665189507,-0.1399979223771025,0.0022031305934773547,1.0110819886592628,1.2749713417283668,1.1211420808645436,1.1088951029903515,1.0110819886592628,0.765865914257251,0.11006009220528079,0.7470181351244732,0.7381331843960752,0.07924008471117398,0.23413408574274897,0.765865914257251,0.0008516623321102697,0.009567405335146639,0.0001499884670509495,-0.00010458891603643644,8.420086380711844e-06,0.8571428571428571,0.5732808525473307,0.1128228588990552
29,1.0,1,1,1,1.0,0.9978216880904346,0.5703627747929851,0.23757217229156116,0.19206505291545378,1.0,1.8325046513436365,0.8360830235982009,0.8103513905483734,-0.06593248013320158,-0.13735855796050536,0.004389438166398318,2.1316669503424763,1.5109007594590096,1.3419057509832775,1.4009616102829796,2.1316669503424763,0.7892793228315259,0.7897611993591989,1.643474443622086,0.7676732988791523,0.5550359701449165,0.2107206771684741,0.7892793228315259,0.1862293962878798,0.5339302939914647,0.003487594517626216,-0.004172410772443019,0.0021929016212430433,0.8620689655172413,0.5607787775342667,0.11535411880901468
30,1.0,1,1,1,1.0,0.984726815283258,0.42622578046229664,0.36861948024283353,0.20515473929486983,1.0,1.2457691049738375,0.83694904388341,0.829316251493536,-0.06587418083734997,-0.1346491131530748,0.004407406277620687,1.257102918928119,1.388674315293171,0.9654518759015587,1.1019555313339169,1.257102918928119,0.8103513905483734,0.2916510430265604,0.9397498550092938,0.794545541170124,0.2085451682849906,0.18964860945162665,0.8103513905483734,0.020682343963084878,0.02407071187730561,0.018633247946395978,-4.0660414970648806e-05,2.4589152200266805e-05,0.8666666666666667,0.5484077719315119,0.112198392980817
31,-1.0,0,0,0,1.0,0.006368896499794945,0.55216130188686,0.20707489160919895,0.240763806503941,1.0,-1.5084370520534776,0.8381046225282623,0.5489347271671,-0.07167670917891968,-0.13279092570915538,0.007769986216685114,-1.857029474798151,-1.1458218815638956,-1.0208606569540315,-0.9762963982668429,1.857029474798151,0.49881636351900005,0.8361688178441196,1.419749399001171,0.4389897048937752,0.5897255787685044,0.501183636481,0.49881636351900005,0.28317367541246696,0.7756907520963031,0.0019859731523386654,-0.005910204920206034,0.0033742524271215394,0.8709677419354839,0.546884412723431,0.11771372467216056
32,-1.0,0,0,0,1.0,0.08056485944020128,0.3832538479868193,0.3816194895437951,0.23512666246938563,1.0,-0.7262508972735168,0.8444386941499367,0.59404125445039,-0.07161216537251319,-0.13056303816912138,0.007665480059736091,-0.7180428329058971,-0.7451971614569863,-0.7088794457752179,-0.9406099173547402,0.7180428329058971,0.5489347271671,0.009163387130679213,0.5027575571457981,0.4984840105330096,0.014184357208160563,0.4510652728329,0.5489347271671,0.04594978949018235,0.049536107080058456,0.053699011458467796,-4.303581107851326e-05,-9.299066361942535e-05,0.875,0.5438900646018519,0.11547110169772373
33,-1.0,0,0,0,1.0,0.025068046498556283,0.42574650893854304,0.3197270071826892,0.2545264838787678,1.0,-1.0837890646725008,0.847085721324653,0.634637129005351,-0.07165298285782992,-0.12840765877513513,0.006578726488532429,-1.1382164504973593,-1.3283301854805145,-0.6855646101874068,-0.9973510095133946,1.1382164504973593,0.59404125445039,0.45265184030995254,0.8389609950253742,0.5525844044488271,0.32452176827670287,0.40595874554961,0.59404125445039,0.007471537379688684,0.01984307246360684,0.09721075880466436,-0.00014845842100701787,-0.0010768706570997081,0.8787878787878788,0.5397103276608749,0.11219838762748026
34,-1.0,0,0,0,1.0,0.0105471364181547,0.5204797541874113,0.24920552769011328,0.23031471812247536,1.0,-1.340271007839766,0.8483252678704986,0.6711734161048158,-0.07572280152858361,-0.12618728746096036,0.006907672021282207,-1.7619388055923726,-0.7511747332711984,-1.0247744370984921,-1.1377094241825965,1.7619388055923726,0.634637129005351,0.7371643684938805,1.3378980616160683,0.6014250395810183,0.5225937844342488,0.36536287099464904,0.634637129005351,0.04103119517370047,0.38966232061523176,0.01275431130768681,-0.0041835735052983755,0.00033932260639216394,0.8823529411764706,0.5345824612883388,0.11010523490825143
35,-1.0,0,0,0,1.0,0.020685949050350393,0.3807994779739971,0.3831223606271961,0.23607816139880677,1.0,-1.1367684792379311,0.8501810442210047,0.7040560744943343,-0.07644098709107083,-0.12384216833177172,0.006880228334698868,-0.8941293212943703,-1.3913910573509871,-1.1149335984333897,-1.1584972751967755,0.8941293212943703,0.6711734161048158,0.2208042771390194,0.6395806555069127,0.6456621410595778,0.16147066601859578,0.32882658389518415,0.6711734161048158,0.000472140573821091,0.06989041505054423,0.0018977939331447594,-0.0008330192937206776,-1.710784031188402e-05,0.8857142857142857,0.5287037219342486,0.10697286078441057
36,-1.0,0,0,0,1.0,0.015932573704153883,0.399336786339328,0.37653471450172765,0.22412849915894437,1.0,-1.2124854968155252,0.8515531359946605,0.7336504670449009,-0.07709336346782364,-0.12142684553444566,0.004022688833046898,-1.0263227439285998,-1.6569169140249482,-0.7975350479899742,-1.2913392798607735,1.0263227439285998,0.7040560744943343,0.22878769593862558,0.7446172080518091,0.6858223173367126,0.16703161549173676,0.29594392550566573,0.7040560744943343,0.006217919100547082,0.0702337643174891,0.24384261941351007,-0.0007681901426033041,-0.0028514964037555557,0.8888888888888888,0.5222381720334547,0.10417411240430324
37,1.0,1,1,1,1.0,0.9757978572415561,0.3837186958178266,0.33514268558463606,0.2811386185975373,1.0,1.0853152088336258,0.8526291381001163,0.8463846263441824,-0.07771485535703346,-0.1186844774862968,-0.001554215767976471,1.3059169500583931,1.4296909777072482,0.37369460876626237,1.0561794168633014,1.3059169500583931,0.829316251493536,0.9322223412921308,0.9676401965788908,0.8322868436831208,0.6565783277375384,0.17068374850646395,0.829316251493536,0.0008488943737380164,0.062368835486369546,0.4657855132832522,-0.0007382392933515784,-0.0055792394269141695,0.8918918918918919,0.5127367011273197,0.1013815389440177
38,1.0,1,1,1,1.0,0.986715076713721,0.42671963491474024,0.3832573859751381,0.1900229791101217,1.0,1.2630789063075174,0.8532477744811586,0.8617461637097642,-0.07781909681858305,-0.11591103274194421,-0.0009298544369430587,1.2997413919015575,1.3136200410764638,1.0788124253403526,1.0300798278464287,1.2997413919015575,0.8463846263441824,0.22092896656120486,0.9620782581642124,0.8546578428095128,0.15309606082486693,0.15361537365581757,0.8463846263441824,0.05428857056371657,0.07271735912865832,0.002374866058504797,-0.00022114546277930098,0.0006229644540625413,0.8947368421052632,0.5032861398780697,0.10014225030243083
39,-1.0,0,0,0,1.0,0.029386374597023826,0.4219541680662986,0.3862183776040983,0.19182745432960313,1.0,-1.0247308758833251,0.8551727225325362,0.7602854203404108,-0.07819004829639127,-0.11340539974571195,-0.0011737874627814721,-1.1176248103230768,-0.8976161013520514,-1.0763245291413372,-0.8521050796808868,1.1176248103230768,0.7336504670449009,0.04130028118173956,0.8162807514398784,0.7277870043596917,0.027980342390274634,0.2663495329550991,0.7336504670449009,0.029799665514525776,0.07050072736030115,0.0502743615163475,-0.0004884127421493045,-0.0002456963520218607,0.8974358974358975,0.4972108422646602,0.09833859428222813
40,-1.0,0,0,0,1.0,0.026470135826689497,0.4220694228723592,0.2648065778722949,0.31312399925534584,1.0,-1.0538547532282607,0.8567776027332364,0.7842568783063697,-0.08530297061166395,-0.11085585065256179,-0.003722822285813632,-1.631603783703048,-1.0202998118132274,-0.30346630900323174,-0.8205108101864714,1.631603783703048,0.7602854203404108,1.3281374746998162,1.2270929786660472,0.7609228336457604,0.9285224448270898,0.2397145796595892,0.7602854203404108,0.05444939575428981,0.6578718116879618,0.2673350162038251,-0.007241068991204065,-0.0025546274453944235,0.9,0.4907734356995334,0.09724136431902967
